sample_id	observed_fraction	country	original_group_id	date_mean_bp
Kou01.SG	0.8861277103424072	Greece	Greece_Koufonisi_Cycladic_EBA.SG	4250.0
Kou03.SG	0.9077820181846619	Greece	Greece_Koufonisi_Cycladic_EBA.SG	4250.0
cay004.SG	0.07122147083282471	Turkey	Turkey_Southeast_Cayonu_PPN.SG	8396.0
cay007.SG	0.3812960684299469	Turkey	Turkey_Southeast_Cayonu_PPN.SG	9375.0
cay008.SG	0.07924896478652954	Turkey	Turkey_Southeast_Cayonu_PPN.SG	8641.0
cay013.SG	0.13208457827568054	Turkey	Turkey_Southeast_Cayonu_PPN.SG	8591.0
AV1.AG	0.6938337087631226	Hungary	Hungary_Avar_5.AG	1360.0
AV2.AG	0.6670691967010498	Hungary	Hungary_Avar_5_daughter.or.mother.AV1.AG	1348.0
CL102.AG	0.35761991143226624	Italy	Italy_North_EarlyMedieval_Langobards_o1.AG	1345.0
CL121.AG	0.7398089170455933	Italy	Italy_North_EarlyMedieval_Langobards_o3.AG	1345.0
CL145.AG	0.7130444049835205	Italy	Italy_North_EarlyMedieval_Langobards_1_brother.CL146_son.CL151.AG	1345.0
CL146.AG	0.7226817607879639	Italy	Italy_North_EarlyMedieval_Langobards_1.AG	1345.0
CL151.AG	0.6262732148170471	Italy	Italy_North_EarlyMedieval_Langobards_1_mother.CL145_mother.CL146.AG	1345.0
CL23.AG	0.736739993095398	Italy	Italy_North_EarlyMedieval_Langobards_2.AG	1345.0
CL25.AG	0.5952297449111938	Italy	Italy_North_EarlyMedieval_Langobards_3.AG	1345.0
CL30.AG	0.7169454097747803	Italy	Italy_North_EarlyMedieval_Langobards_3.AG	1345.0
CL31.AG	0.694735586643219	Italy	Italy_North_EarlyMedieval_Langobards.AG	1345.0
CL36.AG	0.5851089954376221	Italy	Italy_North_EarlyMedieval_Langobards_2.AG	1345.0
CL38.AG	0.6540215015411377	Italy	Italy_North_EarlyMedieval_Langobards_3.AG	1345.0
CL47.AG	0.6682322025299072	Italy	Italy_North_EarlyMedieval_Langobards_2.AG	1345.0
CL49.AG	0.2650628983974457	Italy	Italy_North_EarlyMedieval_Langobards_2.AG	1345.0
CL53.AG	0.2829313278198242	Italy	Italy_North_EarlyMedieval_Langobards_2.AG	1345.0
CL57.AG	0.6720991730690002	Italy	Italy_North_EarlyMedieval_Langobards_2.AG	1345.0
CL63.AG	0.7293264269828796	Italy	Italy_North_EarlyMedieval_Langobards_2.AG	1345.0
CL83.AG	0.6040658354759216	Italy	Italy_North_EarlyMedieval_Langobards_1_brother.CL84_son.CL87.AG	1345.0
CL84.AG	0.7002967596054077	Italy	Italy_North_EarlyMedieval_Langobards_1.AG	1345.0
CL87.AG	0.7402566075325012	Italy	Italy_North_EarlyMedieval_Langobards_1_mother.CL83_mother.CL84_daughter.CL102.AG	1345.0
CL92.AG	0.6477766036987305	Italy	Italy_North_EarlyMedieval_Langobards_1_son.CL93.AG	1345.0
CL93.AG	0.6753789186477661	Italy	Italy_North_EarlyMedieval_Langobards_1.AG	1345.0
CL94.AG	0.7479126453399658	Italy	Italy_North_EarlyMedieval_Langobards_2.AG	1345.0
CL97.AG	0.0792221948504448	Italy	Italy_North_EarlyMedieval_Langobards_1.AG	1345.0
SZ12.AG	0.45177221298217773	Hungary	Hungary_Langobard.AG	1442.0
SZ13.AG	0.7076778411865234	Hungary	Hungary_Langobard_son.SZ24_father.SZ7_brother.SZ22.AG	1462.0
SZ14.AG	0.3120461702346802	Hungary	Hungary_Langobard.AG	1442.0
SZ16.AG	0.5609956979751587	Hungary	Hungary_Langobard.AG	1442.0
SZ18.AG	0.6223511099815369	Hungary	Hungary_Langobard_o2.AG	1442.0
SZ19.AG	0.6531690955162048	Hungary	Hungary_Langobard_o1.AG	1456.0
SZ22.AG	0.5999279618263245	Hungary	Hungary_Langobard_son.SZ24_brother.SZ22.AG	1442.0
SZ23.AG	0.6186934113502502	Hungary	Hungary_Langobard.AG	1442.0
SZ24.AG	0.38579967617988586	Hungary	Hungary_Langobard.AG	1442.0
SZ25.AG	0.30896511673927307	Hungary	Hungary_Langobard.AG	1442.0
SZ27.AG	0.7584518790245056	Hungary	Hungary_Langobard_o2.AG	1467.0
SZ28.AG	0.6555202603340149	Hungary	Hungary_Langobard_o2.AG	1442.0
SZ30.AG	0.39561790227890015	Hungary	Hungary_Langobard.AG	1442.0
SZ31.AG	0.10666391998529434	Hungary	Hungary_Langobard_o1.AG	1442.0
SZ32.AG	0.6706295609474182	Hungary	Hungary_Langobard_o1.AG	1442.0
SZ37.AG	0.4217660427093506	Hungary	Hungary_Langobard_o1.AG	1430.0
SZ38.AG	0.6284191608428955	Hungary	Hungary_Langobard.AG	1442.0
SZ40.AG	0.6284118890762329	Hungary	Hungary_Langobard_o1.AG	1442.0
SZ41.AG	0.181651771068573	Hungary	Hungary_Langobard.AG	1442.0
SZ42.AG	0.7213305830955505	Hungary	Hungary_Langobard.AG	1442.0
SZ7.AG	0.6450029611587524	Hungary	Hungary_Langobard.AG	1442.0
SZ8.AG	0.17722684144973755	Hungary	Hungary_Langobard_sister.SZ14_sister.SZ6.AG	1442.0
SZ9.AG	0.700106143951416	Hungary	Hungary_Langobard.AG	1442.0
SZ11.SG	0.9985417723655701	Hungary	Hungary_Langobard.SG	1442.0
SZ15.SG	0.9985637068748474	Hungary	Hungary_Langobard.SG	1442.0
SZ2.SG	0.9955450296401978	Hungary	Hungary_Langobard.SG	1442.0
SZ3.SG	0.9988759160041809	Hungary	Hungary_Langobard.SG	1442.0
SZ4.SG	0.9988459348678589	Hungary	Hungary_Langobard.SG	1442.0
I1895.AG	0.5817238092422485	Hungary	Hungary_MN_Vinca.AG	7195.0
I1902.AG	0.14578840136528015	Hungary	Hungary_LN_Lengyel.AG	6550.0
I1905.AG	0.32721146941185	Hungary	Hungary_LN_Lengyel.AG	6664.0
I1907.AG	0.7139722108840942	Hungary	Hungary_C_Balaton_Lasinja.AG	6183.0
I1594.AG	0.09277842193841934	Germany	Germany_Blatterhohle_MN.AG	5140.0
I1763.AG	0.7057695388793945	Ukraine	Ukraine_Mesolithic.AG	10081.0
I1767.AG	0.618984580039978	UnitedKingdom	England_BellBeaker_highEEF.AG	4045.0
I1770.AG	0.41579529643058777	UnitedKingdom	England_BellBeaker.AG	3950.0
I1774.AG	0.08392855525016785	UnitedKingdom	England_C_EBA.AG	3698.0
I1775.AG	0.3501341938972473	UnitedKingdom	Wales_C_EBA.AG	3563.0
I1819.AG	0.6912530660629272	Ukraine	Ukraine_Mesolithic.AG	10658.0
I1836.AG	0.24693818390369415	Spain	Spain_EBA.AG	3527.0
I1838.AG	0.7065205574035645	Spain	Spain_C.AG	5126.0
I1840.AG	0.563572347164154	Spain	Spain_EBA.AG	3475.0
I1843.AG	0.5500096082687378	Spain	Spain_C.AG	4904.0
I1887.AG	0.32427799701690674	Hungary	Hungary_MN_Vinca.AG	7150.0
I1889.AG	0.3360118567943573	Hungary	Hungary_MN_Vinca.AG	6943.0
I1890.AG	0.08686526119709015	Hungary	Hungary_LN_Sopot.AG	6875.0
I1891.AG	0.35533687472343445	Hungary	Hungary_LN_Sopot.AG	6913.0
I1896.AG	0.2096879780292511	Hungary	Hungary_MN_Vinca.AG	7190.0
I1899.AG	0.27444154024124146	Hungary	Hungary_LN_Lengyel.AG	6550.0
I1900.AG	0.052095964550971985	Hungary	Hungary_LN_Lengyel.AG	6686.0
I1901.AG	0.4171715974807739	Hungary	Hungary_LN_Lengyel.AG	6550.0
I1903.AG	0.5004732012748718	Hungary	Hungary_LN_Lengyel_son.I10619.son.I10624.halfbro.I10620.halfbro.I10621.AG	6550.0
I1906.AG	0.3822733461856842	Hungary	Hungary_LN_Lengyel.AG	6550.0
I1908.AG	0.46709319949150085	Hungary	Hungary_C_Balaton_Lasinja.AG	6050.0
I1909.AG	0.4214700162410736	Hungary	Hungary_C_Balaton_Lasinja.AG	6086.0
I1972.AG	0.31595367193222046	Spain	Spain_EN.AG	6703.0
I1975.AG	0.09114746004343033	Spain	Spain_C.AG	4927.0
I0166.AG	0.10105732828378677	Germany	Germany_N.AG	6400.0
I2020.AG	0.05563363805413246	Germany	Germany_EN_LBK_1d.or.2d.rel.I1550.AG	7125.0
I2403.AG	0.24806146323680878	Poland	Poland_GlobularAmphora.AG	4667.0
I2417.AG	0.7018920183181763	UnitedKingdom	England_BellBeaker_lowEEF.AG	4250.0
I2428.AG	0.06451188772916794	Bulgaria	Bulgaria_Chalcolithic.AG	6400.0
I2458.AG	0.6934395432472229	UnitedKingdom	England_MBA_highEEF.AG	3331.0
I2461.AG	0.6595818400382996	UnitedKingdom	England_C_EBA.AG	3975.0
I2462.AG	0.6981580853462219	UnitedKingdom	England_Thanet_Chalcolithic_EBA_highEEF.AG	3942.0
I2470.AG	0.3494529128074646	Spain	Spain_MBA.AG	3275.0
I2477.AG	0.6703886985778809	Italy	Italy_North_BellBeaker_2.AG	4015.0
I2509.AG	0.7321252822875977	Bulgaria	Bulgaria_Dzhulyunitsa_Chalcolithic.AG	6350.0
I2510.AG	0.6958498954772949	Bulgaria	Bulgaria_Dzhulyunitsa_EBA_o1.AG	4794.0
I2519.AG	0.6518568992614746	Bulgaria	Bulgaria_Chalcolithic.AG	6237.0
I2520.AG	0.6738030910491943	Bulgaria	Bulgaria_Dzhulyunitsa_EBA.AG	5153.0
I2525.AG	0.7244579195976257	Bulgaria	Bulgaria_Medieval_oEastAsia.AG	1014.0
I2530.AG	0.5797652006149292	NorthMacedonia	NorthMacedonia_Medieval.AG	915.0
I2532.AG	0.5997381806373596	Romania	Romania_Eneolithic_oEEF.AG	7614.0
I2533.AG	0.6542778015136719	Romania	Romania_Eneolithic_oEEF.AG	7371.0
I2534.AG	0.36322489380836487	Romania	Romania_MaguraBuduiasca_Mesolithic.AG	7670.0
I2566.AG	0.4140532314777374	UnitedKingdom	England_C_EBA.AG	4078.0
I2567.AG	0.5018649697303772	UnitedKingdom	Scotland_C_EBA.AG	4018.0
I2568.AG	0.48563072085380554	UnitedKingdom	Scotland_C_EBA_mediumhighEEF.AG	4113.0
I2573.AG	0.5252709984779358	UnitedKingdom	Scotland_MBA.AG	3361.0
I2596.AG	0.4483294188976288	UnitedKingdom	England_C_EBA_lowEEF_father.or.son.I2597.AG	4086.0
I2600.AG	0.4516473114490509	UnitedKingdom	England_C_EBA_daughter.I2457.AG	3970.0
I2601.AG	0.42946669459342957	UnitedKingdom	England_Thanet_Chalcolithic_EBA.AG	3808.0
I2602.AG	0.5470007061958313	UnitedKingdom	England_Thanet_Chalcolithic_EBA.AG	3762.0
I2605.AG	0.5235922336578369	UnitedKingdom	England_N.AG	5397.0
I2609.AG	0.238864466547966	UnitedKingdom	England_C_EBA.AG	3848.0
I2610.AG	0.06946723163127899	UnitedKingdom	England_C_EBA.AG	3783.0
I2618.AG	0.5481426119804382	UnitedKingdom	England_C_EBA.AG	3993.0
I2630.AG	0.7873890995979309	UnitedKingdom	Scotland_N.AG	4471.0
I2631.AG	0.737763524055481	UnitedKingdom	Scotland_N.AG	4957.0
I2633.AG	0.6187501549720764	UnitedKingdom	Scotland_N.AG	5639.0
I2635.AG	0.6454757452011108	UnitedKingdom	Scotland_N.AG	5523.0
I2637.AG	0.7142479419708252	UnitedKingdom	Scotland_N.AG	5375.0
I2639.AG	0.4963645935058594	UnitedKingdom	England_MBA.AG	3430.0
I2650.AG	0.651766836643219	UnitedKingdom	Scotland_N.AG	5375.0
I2651.AG	0.6575186252593994	UnitedKingdom	Scotland_N.AG	5160.0
I2653.AG	0.487479031085968	UnitedKingdom	Scotland_MBA.AG	3224.0
I2654.AG	0.44559141993522644	UnitedKingdom	Scotland_MBA.AG	3287.0
I2655.AG	0.7056072950363159	UnitedKingdom	Scotland_MBA.AG	3311.0
I2659.AG	0.6755038499832153	UnitedKingdom	Scotland_N.AG	5637.0
I2660.AG	0.695428192615509	UnitedKingdom	Scotland_N_mediumlowEEF.AG	5394.0
I2691.AG	0.6664244532585144	UnitedKingdom	Scotland_N_mediumlowEEF.AG	5613.0
I2692.AG	0.5501320958137512	UnitedKingdom	Scotland_EIA.AG	2436.0
I2693.AG	0.2803157866001129	UnitedKingdom	Scotland_LIA.AG	2060.0
I2694.AG	0.6620230078697205	UnitedKingdom	Scotland_MIA_LIA.AG	2202.0
I2695.AG	0.3886966407299042	UnitedKingdom	Scotland_MIA_LIA.AG	2208.0
I2696.AG	0.5445278882980347	UnitedKingdom	Scotland_MIA_LIA.AG	2165.0
I2739.AG	0.6357816457748413	Hungary	Hungary_MN_LBK.AG	7077.0
I2741.AG	0.7381017208099365	Hungary	Hungary_EBA_BellBeaker.AG	4245.0
I2743.AG	0.2198638617992401	Hungary	Hungary_MN_AVK_Szakalhat.AG	7050.0
